"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Revoke Existence","bng","Near Mint","English","","","2024-07-23 21:21:39.177000","25","False","False",""
"1","1","Riot Control","dgm","Near Mint","English","","","2024-07-23 05:32:58.393000","6","False","False",""
"1","1","Sanguine Bond","c17","Near Mint","English","","","2024-07-22 23:05:00.283000","124","False","False",""
"1","1","Sign in Blood","m13","Near Mint","English","","","2024-07-24 05:47:51.573000","110","False","False",""
"1","1","Slaughter the Strong","cmr","Near Mint","English","","","2024-07-24 05:18:21.523000","48","False","False",""
"15","15","Swamp","lci","Near Mint","English","","","2024-07-24 05:31:27.223000","397","False","False",""
"1","1","Syndicate Enforcer","gtc","Near Mint","English","","","2024-07-22 23:05:42.913000","80","False","False",""
"1","1","Tithe Drinker","dgm","Near Mint","English","","","2024-07-22 23:06:19.950000","109","False","False",""
"1","1","Traveler's Amulet","2x2","Near Mint","English","","","2024-07-24 04:44:50.840000","316","False","False",""
"1","1","Vampire Spawn","afr","Near Mint","English","","","2024-07-22 23:05:24.077000","123","False","False",""
"1","1","Vendetta","roe","Near Mint","English","","","2024-07-24 04:30:28.753000","130","False","False",""
"1","1","Village Rites","lcc","Near Mint","English","","","2024-07-24 04:29:12.883000","212","False","False",""
"1","1","Well of Lost Dreams","ltc","Near Mint","English","","","2024-07-24 04:45:22.150000","291","False","False",""
